"loan_amnt","term","int_rate","installment","grade","home_ownership","annual_inc","verification_status","purpose","dti","delinq_2yrs","fico_range_low","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","total_acc","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","application_type","acc_now_delinq","tot_coll_amt","mths_since_rcnt_il","avg_cur_bal","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_il_tl","num_rev_accts","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bc_limit","total_il_high_credit_limit","default","open_acc_6m","open_act_il","open_il_12m","open_il_24m","open_rv_24m","max_bal_bc","all_util","inq_fi","total_cu_tl","inq_last_12m","bc_util","num_tl_120dpd_2m","emp_length","il_util"
12000,60,13.18,274.15,1,"MORTGAGE",70000,"Not Verified","debt_consolidation",28.17,0,685,0,0,0,13,0,29827,44,709,705,0,0,0,0,0,5,20889,0,0,144,144,5,5,4,5,0,22,0,0,5,17,23,0,3,100,0,0,309753,11000,82753,"no",2,6,2,9,2,3025,75,1,11,0,93.9,0,10,67
10000,36,11.99,332.1,1,"RENT",56160,"Source Verified","debt_consolidation",2.18,0,670,0,27,0,11,0,3499,25,609,605,0,0,0,0,4030,50,6554,0,0,136,133,2,2,0,15,27,0,27,0,2,20,5,0,1,95.2,0,0,69698,2400,64898,"yes",1,7,0,0,3,1551,103,0,0,0,65.2,0,1,106
15000,60,18.49,384.92,4,"MORTGAGE",70000,"Source Verified","debt_consolidation",22.54,0,675,1,28,87,9,1,7088,33,699,695,0,29,0,0,0,6,23156,0,0,267,79,1,1,1,1,0,4,0,1,3,25,6,0,5,93.9,1,0,200660,14300,56233,"no",3,2,2,3,2,4544,65,3,0,9,49.6,0,8,83
20000,36,7.89,625.72,0,"RENT",140000,"Source Verified","debt_consolidation",6.3,0,685,2,0,82,11,1,6938,29,769,765,0,0,0,0,0,7,2746,0,0,169,237,4,4,0,39,0,2,0,0,3,9,20,0,3,100,1,0,73877,20300,27377,"no",1,1,2,2,5,2694,41,0,1,4,19.8,0,10,85
35000,60,11.99,778.38,1,"MORTGAGE",148000,"Source Verified","debt_consolidation",9.86,0,745,0,62,0,19,0,25036,41,764,760,0,0,0,0,0,20,17952,0,0,96,256,8,8,2,8,0,18,0,0,6,4,33,0,2,97.6,0,0,479902,73800,42802,"no",0,2,0,1,5,8956,33,2,2,0,33.9,0,10,48
3500,36,13.44,118.68,1,"RENT",27888,"Verified","debt_consolidation",27.93,2,665,3,12,73,11,1,4932,14,534,530,0,0,0,0,0,10,2536,0,0,144,282,2,2,0,15,12,1,12,0,5,5,9,0,2,100,1,0,28490,5100,21690,"yes",1,2,1,2,3,2121,80,7,0,7,96.7,0,10,83
21675,60,11.48,476.48,2,"RENT",80000,"Source Verified","debt_consolidation",33.53,0,745,0,0,0,14,0,21964,29,699,695,0,0,0,0,0,7,5767,0,0,142,236,28,7,3,71,0,9,0,0,5,12,14,0,2,100,0,0,128934,52800,75134,"no",0,5,2,2,0,10730,63,0,3,1,40.3,0,3,78
15000,36,8.49,473.45,2,"MORTGAGE",135000,"Not Verified","major_purchase",25.04,0,690,0,64,57,8,1,2386,42,744,740,0,64,0,0,0,17,24200,0,0,166,241,13,13,3,13,64,3,64,4,2,9,29,0,0,89.2,1,0,244417,16500,226517,"no",0,3,0,1,1,1917,45,1,0,3,14.5,0,4,55
19600,60,14.48,460.95,1,"RENT",95000,"Not Verified","credit_card",12.85,0,690,2,0,0,16,0,22754,37,664,660,0,0,0,0,0,15,2347,0,0,125,121,1,1,2,1,0,1,0,0,2,16,19,0,5,100,0,0,54349,9200,11949,"no",2,3,0,2,7,2407,69,2,4,4,29,0,10,124
3500,36,11.22,114.96,2,"RENT",55000,"Source Verified","credit_card",12.87,0,705,0,0,0,12,0,15497,17,724,720,0,0,0,0,0,4,2548,0,0,148,145,16,4,1,37,0,4,0,0,2,2,14,0,1,100,0,0,38135,14400,8635,"no",1,1,1,1,2,9295,60,0,0,1,91.9,0,6,86
18000,36,9.17,573.83,2,"MORTGAGE",54000,"Verified","major_purchase",16,0,690,2,0,27,19,5,5780,20,739,735,0,0,0,0,746,13,11746,0,0,231,57,0,0,1,0,0,3,0,0,7,2,17,0,5,100,0,5,255416,13500,17594,"no",4,2,0,1,14,1209,36,0,0,3,28.8,0,10,58
8400,36,11.22,275.89,2,"RENT",26000,"Verified","debt_consolidation",26.57,0,670,2,48,0,11,0,5162,15,759,755,0,48,0,0,228,0,2436,0,0,13,100,2,2,0,2,48,2,48,1,6,1,14,0,1,86.7,0,0,43186,12600,25186,"no",0,0,0,0,2,2835,51,0,0,0,37.3,0,10,66
10000,36,8.49,315.63,2,"RENT",67000,"Not Verified","other",13.63,0,705,0,0,0,8,0,15899,19,694,690,0,0,0,0,0,13,6086,0,0,219,84,12,12,0,12,0,22,0,0,2,8,11,0,1,100,0,0,70061,22100,36861,"no",0,2,0,5,4,8160,70,1,8,0,52.4,0,1,89
8000,36,6.24,244.25,0,"MORTGAGE",60000,"Not Verified","debt_consolidation",4.96,0,725,0,69,58,9,2,7527,17,734,730,0,0,0,0,0,98,15455,0,0,160,161,4,4,3,7,0,0,0,0,1,3,11,0,2,93.7,0,2,177800,15500,0,"no",1,0,0,0,3,2796,20,0,0,0,18,0,9,79
20000,36,13.18,675.62,1,"RENT",50000,"Source Verified","major_purchase",17.47,0,670,1,0,0,5,0,20615,6,504,500,0,0,0,0,0,4,5494,0,0,40,161,6,4,0,6,0,6,0,0,4,2,4,0,2,100,0,0,36755,29300,7455,"yes",2,1,1,1,2,15214,75,0,0,1,70.4,0,10,92
2000,36,9.17,63.76,2,"RENT",75000,"Not Verified","debt_consolidation",26.75,0,675,0,73,0,11,0,16140,24,694,690,0,0,0,0,0,17,4274,0,0,151,110,17,17,0,17,0,17,0,0,8,12,11,0,0,95.8,0,0,85312,19500,65812,"no",0,3,0,2,1,6951,77,2,0,0,82.8,0,9,73
20000,36,8.38,630.24,2,"MORTGAGE",75000,"Not Verified","debt_consolidation",16.24,0,695,2,28,0,14,0,10658,54,729,725,0,0,0,0,1212,17,11215,0,0,242,188,1,1,3,1,34,1,34,0,3,35,16,0,4,96.1,0,0,185300,18600,54955,"no",1,3,0,1,5,5096,68,0,5,5,44.7,0,3,84
8000,36,13.44,271.26,1,"MORTGAGE",65000,"Verified","home_improvement",33.07,1,695,0,23,0,17,0,46860,43,739,735,0,37,0,0,0,7,12372,0,0,128,199,7,7,2,7,66,7,40,2,6,16,25,0,5,67.4,0,0,252021,23300,67505,"no",0,5,2,2,9,3939,85,1,0,5,55.3,0,2,104
35000,60,18.49,898.13,3,"MORTGAGE",132500,"Source Verified","debt_consolidation",14.48,0,670,1,57,0,16,0,27946,25,764,760,0,0,0,0,1053,16,22471,0,0,72,149,13,13,5,56,0,0,0,0,5,6,14,0,0,92,0,0,416820,20900,40358,"no",0,3,0,2,1,10123,73,2,4,4,90.9,0,9,63
18000,60,14.85,426.81,1,"MORTGAGE",70000,"Not Verified","home_improvement",10.85,0,680,2,0,77,9,1,6810,22,749,745,0,0,0,0,0,13,21176,0,0,151,209,5,5,3,5,0,5,0,0,2,7,12,0,3,100,1,0,218520,14200,34920,"no",1,2,0,2,2,6663,51,0,3,7,46.9,0,5,59
7200,36,15.77,252.32,3,"MORTGAGE",54000,"Verified","debt_consolidation",33.56,0,660,1,0,0,25,0,27771,39,619,615,0,52,0,0,397,14,6796,0,0,105,121,0,0,2,0,0,5,0,0,9,5,32,0,8,95,0,0,188539,24750,7015,"no",4,1,0,1,10,9640,44,0,1,5,74,0,4,67
18000,60,8.38,368.26,2,"MORTGAGE",75000,"Not Verified","debt_consolidation",11.45,0,730,0,0,0,21,0,18893,29,814,810,0,0,0,0,0,69,7755,0,0,150,202,11,11,1,33,0,0,0,0,4,10,18,0,1,100,0,0,189496,19400,30458,"no",0,3,0,0,1,5644,53,0,0,0,68.7,0,6,89
7000,36,15.41,244.07,3,"RENT",65000,"Verified","debt_consolidation",12.19,0,685,0,0,0,4,0,562,8,499,0,0,0,0,0,0,7,9378,0,0,53,27,14,7,0,15,0,7,0,0,1,5,3,0,1,100,0,0,41351,1900,38851,"yes",0,1,1,1,2,562,23,1,0,3,29.6,0,5,76
7500,36,14.48,258.09,1,"MORTGAGE",130000,"Verified","debt_consolidation",18.81,1,660,1,23,63,13,4,48396,24,629,625,0,0,0,0,0,5,19822,0,0,174,187,15,5,2,15,23,6,23,0,7,11,11,0,2,75,0,4,299789,10300,64489,"no",1,4,2,3,1,5010,84,2,0,2,101.2,0,0,81
24000,60,11.99,533.75,1,"MORTGAGE",130000,"Not Verified","credit_card",23.12,0,675,0,48,0,15,0,28532,31,729,725,0,0,0,0,0,25,23328,0,0,139,213,85,25,2,85,0,0,48,0,7,18,11,0,0,90,0,0,403194,30500,109865,"no",0,6,0,0,0,10153,76,0,2,3,90,0,10,73
6000,36,13.44,203.44,1,"MORTGAGE",60000,"Source Verified","credit_card",5.02,0,670,0,61,0,10,0,7682,15,704,700,0,61,0,0,1845,86,1120,0,0,86,84,1,1,0,10,0,1,67,2,2,2,13,0,5,86.7,0,0,30466,9100,6066,"no",1,1,0,0,10,3407,37,1,0,5,44.1,0,3,58
6025,36,9.76,193.74,2,"RENT",52000,"Source Verified","other",20.78,0,685,0,37,0,11,0,9924,19,524,520,0,73,0,0,0,9,3199,0,0,147,244,15,9,0,18,37,9,37,1,4,7,11,0,1,68.4,0,0,47976,11700,30252,"yes",0,2,1,1,5,3456,73,1,0,4,76,0,1,83
17000,60,9.17,354.3,2,"OWN",38000,"Source Verified","debt_consolidation",24.48,0,685,0,68,72,9,1,4720,46,669,665,0,0,0,0,0,8,8736,0,0,206,138,18,8,2,42,0,8,0,0,1,32,12,0,1,97.3,1,0,86133,9800,73933,"no",0,4,1,5,1,4720,57,3,8,1,48.2,0,0,66
7000,36,8.49,220.95,2,"MORTGAGE",70000,"Source Verified","credit_card",18.04,0,675,0,0,0,9,0,6818,20,524,520,0,0,0,0,0,4,21049,0,0,229,108,8,4,1,8,0,1,0,0,4,12,7,0,2,100,0,0,208479,7600,52431,"yes",1,3,1,2,4,3866,76,2,6,1,89.7,0,2,75
1300,36,11.99,43.18,1,"MORTGAGE",50000,"Not Verified","other",14.84,0,680,0,44,0,8,0,16983,17,589,585,0,44,0,0,0,25,36784,0,0,159,169,40,4,5,40,0,8,0,2,5,4,8,0,2,88.2,0,0,308929,19200,23755,"no",2,2,0,0,0,8399,67,0,0,2,88.5,0,8,49
17625,36,17.57,633.4,3,"RENT",42000,"Verified","home_improvement",18.86,0,725,1,0,0,10,0,10383,16,509,505,0,0,0,0,0,3,2258,0,0,12,169,0,0,0,0,0,1,0,0,3,2,14,0,3,100,0,0,49100,30600,15000,"yes",2,2,2,2,2,5877,46,0,0,1,33.9,0,8,81
25000,36,16.99,891.2,3,"RENT",68000,"Source Verified","credit_card",28.42,0,710,5,0,0,39,0,27350,46,679,675,0,0,0,0,0,5,1387,0,0,26,95,0,0,0,2,0,1,0,0,19,3,42,0,7,100,0,0,126578,54400,34378,"no",6,2,2,2,9,3298,43,0,0,6,34.5,0,8,78
12000,36,5.32,361.38,0,"RENT",108000,"Not Verified","credit_card",12.25,0,775,0,0,0,9,0,6765,22,769,765,0,0,0,0,0,17,3779,0,0,159,241,30,17,4,43,0,0,0,0,3,4,13,0,0,100,0,0,75473,18400,44430,"no",0,2,0,1,0,2374,45,1,0,3,35.9,0,4,60
20000,60,11.48,439.66,2,"RENT",60000,"Source Verified","credit_card",21.28,0,690,0,71,0,8,0,14946,18,759,755,0,0,0,0,54,10,5614,0,0,204,199,1,1,4,1,0,0,0,0,3,7,7,0,2,94.4,0,0,67413,21200,45213,"no",1,2,1,1,1,6631,67,0,6,0,70.4,0,10,66
10500,36,9.8,337.83,2,"MORTGAGE",92000,"Verified","debt_consolidation",15.85,1,665,1,10,0,29,0,11156,43,609,605,0,65,1,0,0,1,12091,0,0,127,287,17,1,1,17,10,2,10,2,4,36,6,0,3,93,0,0,373179,13300,184122,"no",2,24,3,4,2,4970,95,0,1,2,83.9,0,0,96
6600,36,15.77,231.29,3,"MORTGAGE",82000,"Verified","home_improvement",7.1,0,670,3,0,69,8,1,8908,27,664,660,0,56,0,0,0,7,16645,0,0,113,314,3,3,3,3,0,1,0,0,3,7,17,0,6,85,0,0,143635,11500,12967,"no",2,2,2,2,4,3610,69,1,1,2,77,0,10,81
11200,60,18.49,287.41,3,"RENT",29700,"Not Verified","debt_consolidation",38.02,0,670,1,0,0,13,0,4788,14,499,0,0,0,0,0,0,3,2121,0,0,36,46,5,3,0,20,0,0,0,0,6,2,12,0,2,100,0,0,48835,8500,36135,"yes",2,2,1,1,7,1937,57,0,0,1,45.4,0,7,63
8000,36,16.55,283.44,3,"MORTGAGE",22900,"Verified","credit_card",34.28,0,695,2,61,64,9,2,9533,16,499,0,0,0,0,0,0,8,4426,0,0,133,157,4,4,1,5,0,5,0,0,4,4,11,0,7,100,0,0,58416,19800,32316,"yes",4,1,1,1,8,3161,68,2,3,3,32.7,0,10,94
30000,36,13.67,1020.53,1,"MORTGAGE",78000,"Source Verified","debt_consolidation",20.54,0,665,1,31,0,17,0,26939,19,724,720,0,0,0,0,0,19,10834,0,0,207,217,0,0,1,12,0,0,0,0,8,5,13,0,3,94.7,0,0,212070,28500,37255,"no",1,4,0,1,4,9190,74,0,0,1,87.2,0,6,71
18000,60,13.99,418.74,1,"MORTGAGE",85000,"Not Verified","debt_consolidation",6.72,0,660,1,0,65,5,1,3862,24,719,715,0,0,0,0,0,1,57433,0,0,122,175,6,1,6,0,0,0,0,0,0,10,8,0,3,100,1,0,309722,0,16225,"no",2,1,1,3,2,0,50,4,6,7,98.7,0,4,98
15000,60,12.88,340.38,1,"OWN",50000,"Not Verified","debt_consolidation",30.08,0,805,0,0,0,9,0,75205,11,789,785,0,0,0,0,0,15,10698,0,0,76,373,3,3,0,3,0,19,0,0,1,3,8,0,1,100,0,0,118179,41200,30979,"no",1,2,0,2,2,3998,34,0,0,0,9.7,0,10,68
20000,36,13.18,675.62,1,"MORTGAGE",75000,"Not Verified","debt_consolidation",21.14,1,690,2,21,0,9,0,2047,16,554,550,0,62,0,0,0,8,32535,0,0,110,12,0,0,5,12,0,0,0,1,2,7,4,0,5,93.3,0,0,316968,2800,44453,"yes",1,3,1,3,4,931,77,3,0,6,38.7,0,10,82
5950,36,18.2,215.71,4,"MORTGAGE",35000,"Source Verified","major_purchase",11.59,0,660,0,37,0,4,0,2172,24,694,690,0,37,0,0,0,4,16627,0,0,137,150,11,4,3,11,0,11,37,5,1,11,10,0,2,66.7,0,0,71015,5300,14715,"no",1,1,1,2,3,2172,82,3,3,1,41,0,0,97
15000,36,11.48,494.5,2,"OWN",45000,"Source Verified","debt_consolidation",33.81,0,675,0,59,39,14,1,7479,33,644,640,0,74,0,0,0,7,5233,0,0,139,175,4,4,1,26,74,7,74,1,3,11,21,0,2,89.7,1,0,81250,8100,66750,"no",1,4,1,4,2,3182,50,2,0,3,69.9,0,7,48
16000,36,5.32,481.84,0,"MORTGAGE",85000,"Not Verified","debt_consolidation",17.1,1,695,0,19,0,10,0,28112,30,719,715,0,0,0,0,0,16,6381,0,0,142,465,6,6,2,6,0,16,24,0,3,15,13,0,1,93.3,0,0,105717,30300,58417,"no",1,3,0,1,2,7807,50,0,7,0,55.4,0,2,30
5000,36,18.99,183.26,4,"RENT",29000,"Verified","debt_consolidation",15.19,0,675,3,0,0,6,0,4901,12,669,665,0,0,0,0,0,12,2660,0,0,110,103,8,8,0,13,0,0,0,0,2,2,10,0,2,100,0,0,21278,3200,13678,"no",0,1,1,1,4,2156,75,3,0,6,97.5,0,1,81
24000,36,11.22,788.24,2,"MORTGAGE",72000,"Source Verified","debt_consolidation",14.17,1,725,2,13,81,13,1,5753,23,694,690,0,0,0,0,0,2,1641,0,0,104,196,1,1,1,6,0,1,0,0,2,8,14,0,4,95.5,1,0,58543,5200,19843,"no",3,3,2,2,4,2889,31,1,1,2,74.3,0,1,62
11200,60,12.88,254.15,1,"MORTGAGE",52000,"Verified","debt_consolidation",15.81,1,695,0,4,0,12,0,8743,21,754,750,0,67,0,0,176,11,8762,0,0,135,148,6,6,3,6,67,0,35,1,5,4,14,0,2,81,0,0,134600,22700,8000,"no",1,1,1,1,1,5152,48,0,0,0,38.4,0,10,77
12000,36,8.38,378.15,2,"RENT",30000,"Not Verified","major_purchase",3.6,0,775,1,0,0,6,0,1155,6,754,750,0,0,0,0,0,0,193,0,0,0,243,4,4,0,5,0,4,0,0,3,0,6,0,3,100,0,0,28700,22700,0,"no",2,0,0,0,3,381,4,0,0,1,4.2,0,0,52
20000,36,6.99,617.46,0,"MORTGAGE",65000,"Not Verified","credit_card",16.3,0,720,0,47,0,8,0,21567,18,689,685,0,0,0,0,0,32,42980,0,0,137,193,26,6,2,26,47,6,47,0,4,5,11,0,1,94.4,0,0,380085,28900,23077,"no",1,1,0,0,0,6961,69,0,3,4,74.6,0,10,62
9500,36,7.49,295.47,0,"MORTGAGE",49000,"Not Verified","debt_consolidation",12.69,0,715,0,35,0,9,0,59899,17,779,775,0,0,0,0,50,48,15984,0,0,159,301,3,3,2,20,35,20,35,0,3,3,12,0,1,88.2,0,0,179000,9500,0,"no",1,0,0,0,4,3956,52,0,1,0,84.4,0,10,84
1550,36,14.48,53.34,1,"RENT",16800,"Source Verified","major_purchase",21,0,665,2,50,0,14,0,5104,29,499,0,0,50,0,0,0,8,2717,0,0,135,140,5,5,0,5,61,2,61,12,3,22,7,0,2,68,0,0,36240,4600,27740,"no",1,9,1,1,4,1772,105,4,0,7,75.7,0,5,119
12500,36,9.17,398.49,2,"RENT",34000,"Not Verified","debt_consolidation",12.9,0,710,0,0,0,9,0,13239,10,839,835,0,0,0,0,0,0,1891,0,0,0,168,26,26,0,43,0,0,0,0,2,0,10,0,0,100,0,0,22537,8300,0,"no",0,0,0,0,0,3646,59,0,0,0,85.3,0,5,78
16000,36,5.32,481.84,0,"MORTGAGE",96000,"Not Verified","debt_consolidation",14.45,0,725,1,55,0,23,0,21922,38,744,740,0,55,0,0,0,27,8705,0,0,303,139,1,1,6,16,0,4,0,0,3,10,22,0,2,97.3,0,0,293017,43600,48119,"no",2,5,0,0,4,7009,50,2,12,4,18,0,8,82
5000,36,9.76,160.78,2,"RENT",46000,"Not Verified","debt_consolidation",28.67,0,700,0,0,0,7,0,10416,10,499,0,0,0,0,0,0,11,5347,0,0,113,194,46,11,0,46,0,11,0,0,2,5,5,0,1,100,0,0,56815,7800,43015,"yes",0,3,1,2,0,3216,66,0,0,2,68.2,0,10,63
25200,36,11.22,827.65,2,"MORTGAGE",84000,"Source Verified","debt_consolidation",27.16,0,705,0,0,0,7,0,27902,17,729,725,0,0,0,0,0,8,29492,0,0,233,245,6,6,2,6,0,2,0,0,3,9,6,0,3,100,0,0,224951,29400,48551,"no",1,3,1,2,1,17748,78,0,0,2,94.9,0,10,68
24000,36,12.59,803.93,1,"RENT",84200,"Source Verified","credit_card",25.98,1,660,2,8,0,27,0,37782,41,654,650,0,0,0,0,0,7,4167,0,0,114,116,23,7,0,23,0,0,8,0,8,11,26,0,3,100,0,0,118026,38100,58297,"no",0,9,3,7,2,11730,82,4,0,7,88,0,1,99
6000,36,9.8,193.05,2,"RENT",61800,"Verified","debt_consolidation",11.55,0,675,0,57,0,11,0,9910,19,699,695,0,0,0,0,0,4,8786,0,0,172,170,66,4,0,124,0,0,0,0,2,14,5,0,2,94.7,0,0,101210,10000,85810,"no",1,6,2,3,0,3387,96,0,0,0,58.2,0,3,101
10000,60,16.59,246.33,3,"RENT",30000,"Source Verified","debt_consolidation",30.84,0,715,2,78,91,19,1,6118,36,559,555,0,78,0,0,0,5,3432,0,0,183,162,3,3,0,3,0,1,0,1,3,28,8,0,2,96.9,1,0,85929,21300,62929,"no",2,14,1,3,1,4807,76,5,0,7,28.1,0,0,94
9000,36,9.17,286.92,2,"OWN",85000,"Not Verified","debt_consolidation",26.68,0,730,2,0,0,11,0,39519,20,774,770,0,0,0,0,0,2,8681,0,0,141,141,3,2,0,46,0,3,0,0,2,9,11,0,4,100,0,0,156603,29400,72503,"no",3,5,2,3,2,3809,64,2,0,3,25.3,0,0,77
7000,36,9.76,225.09,2,"RENT",71000,"Source Verified","debt_consolidation",11.78,0,705,1,0,0,12,0,6198,16,629,625,0,0,0,0,0,9,7693,0,0,22,191,10,9,1,10,0,2,0,0,3,2,13,0,2,100,0,0,100583,15300,31883,"no",0,1,1,2,4,3281,61,2,0,6,34.6,0,3,89
21850,60,17.27,546.21,3,"MORTGAGE",65000,"Not Verified","debt_consolidation",12.74,2,660,0,8,0,9,0,8964,32,544,540,0,44,0,0,0,9,15069,0,0,81,376,18,9,4,18,9,3,8,5,4,6,21,0,1,75,0,0,131099,9200,13599,"no",0,2,1,3,1,6960,92,1,2,2,97.2,0,10,88
10000,36,14.85,345.92,1,"RENT",27000,"Source Verified","major_purchase",25.91,0,695,0,55,0,9,0,3806,26,579,575,0,0,0,0,0,1,3549,0,0,93,73,2,1,0,2,0,0,55,0,3,16,10,0,5,96,0,0,40121,9500,25121,"yes",2,2,2,4,8,1016,71,3,9,2,23.6,0,5,98
28000,60,13.67,646.74,1,"MORTGAGE",72000,"Not Verified","home_improvement",21.08,0,730,0,0,0,13,0,5131,32,744,740,0,0,0,0,158,22,10077,0,0,120,193,13,13,3,13,0,0,0,0,2,10,18,0,0,100,0,0,193280,13500,61484,"no",0,3,0,1,4,3916,40,0,0,0,37.9,0,10,47
13000,36,6.99,401.35,0,"MORTGAGE",48000,"Not Verified","debt_consolidation",25.53,0,735,0,29,0,14,0,13863,25,734,730,0,0,0,0,0,63,16858,0,0,124,146,13,6,1,13,0,6,29,0,3,14,10,0,1,95.8,0,0,262112,15300,45844,"no",1,6,0,0,1,3621,41,0,1,2,48.8,0,8,33
12000,36,9.17,382.55,2,"MORTGAGE",65000,"Source Verified","debt_consolidation",6.75,0,680,1,40,0,12,0,12737,25,754,750,0,0,0,0,116,99,26977,0,0,119,368,2,2,4,2,0,1,0,0,7,5,16,0,3,96,0,0,402807,16100,0,"no",2,0,0,0,4,3198,60,0,0,1,65.3,0,10,77
8625,36,11.99,286.44,1,"RENT",95000,"Source Verified","debt_consolidation",8.19,1,665,0,12,74,8,2,5527,22,689,685,0,0,0,0,0,33,2312,0,0,131,325,7,7,0,35,12,11,12,0,3,3,19,0,1,95.2,2,0,29973,4000,21073,"no",0,1,0,0,2,1133,54,2,1,1,57,0,0,51
