"loan_amnt","term","int_rate","installment","grade","home_ownershipMORTGAGE","home_ownershipOWN","home_ownershipRENT","annual_inc","verification_statusNot.Verified","verification_statusSource.Verified","verification_statusVerified","loan_status","purposecar","purposecredit_card","purposedebt_consolidation","purposehome_improvement","purposehouse","purposemajor_purchase","purposemedical","purposemoving","purposeother","purposerenewable_energy","purposesmall_business","purposevacation","dti","delinq_2yrs","fico_range_low","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","total_acc","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","application_type","acc_now_delinq","tot_coll_amt","mths_since_rcnt_il","avg_cur_bal","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_il_tl","num_rev_accts","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bc_limit","total_il_high_credit_limit","open_acc_6m","open_act_il","open_il_12m","open_il_24m","open_rv_24m","max_bal_bc","all_util","inq_fi","total_cu_tl","inq_last_12m","bc_util","num_tl_120dpd_2m","emp_length","il_util"
14400,36,7.26,446.35,2,1,0,0,116900,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16.03,0,680,0,48,47,15,1,24865,23,759,755,0,0,0,0,130,4,24061,0,0,192,144,8,2,2,8,48,2,48,0,6,8,13,0,4,91.3,0,1,353506,26100,51897,2,3,2,3,3,8611,68,2,0,2,82.8,0,10,72
8000,36,9.76,257.24,0,0,0,1,120000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12.29,0,690,0,62,116,10,1,6783,21,644,640,0,0,1,0,0,13,6030,0,0,161,196,13,13,0,100,0,0,0,0,2,16,5,0,0,89.5,1,0,77732,2000,70132,0,6,0,1,1,1000,78,0,1,0,99.6,0,1,76
8000,36,8.38,252.1,0,0,1,0,65000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9.19,0,750,0,28,0,16,0,436,37,754,750,0,28,1,0,0,4,5897,0,0,51,265,9,4,1,9,0,4,0,0,3,2,34,0,3,97.3,0,0,150458,42700,22358,1,1,1,1,2,50,29,0,0,2,0.3,0,10,96
9225,36,11.22,302.98,0,1,0,0,45000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13.09,0,700,0,0,0,6,0,4404,8,649,645,0,0,0,0,0,22,2545,0,0,52,155,31,22,0,38,0,21,0,0,4,2,6,0,0,100,0,0,19136,4400,13836,0,1,0,1,0,2328,80,3,0,0,86.3,0,2,79
20000,60,8.49,410.24,0,1,0,0,75000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17.39,0,815,0,0,0,13,0,7859,25,809,805,0,0,1,0,0,6,21439,0,0,235,182,12,6,1,12,0,6,0,0,4,8,16,0,3,100,0,0,329050,43000,62186,1,2,1,1,4,2915,31,0,4,4,16.6,0,6,96
8000,36,11.22,262.75,0,1,0,0,70000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,19.85,1,720,1,21,0,11,0,15498,20,599,595,0,0,1,0,0,2,3971,0,0,138,176,10,2,0,10,21,0,21,0,5,7,13,0,3,94.7,0,0,76940,37500,38640,1,3,1,1,4,6315,57,0,1,1,39.4,0,5,73
18000,60,9.17,375.14,0,1,0,0,127000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18.68,0,805,0,0,0,9,0,4900,30,814,810,0,0,0,0,0,2,91371,0,0,279,248,24,2,6,75,0,7,0,0,2,19,5,0,3,100,0,0,896300,24417,76275,2,3,2,4,1,3799,67,0,10,1,18,0,8,87
14725,36,15.41,513.41,3,0,0,1,55000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,32.4,1,670,0,6,0,21,0,9856,34,554,550,0,0,1,0,0,47,2157,0,0,50,176,9,9,0,97,6,9,6,0,5,2,32,0,3,91.2,0,0,85201,5000,63901,0,2,0,0,3,1430,53,0,0,2,79.4,0,9,75
5400,36,11.48,178.02,0,0,0,1,58000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,27.95,0,685,0,25,0,14,0,6192,27,689,685,0,0,0,0,0,4,8506,0,0,86,54,4,4,0,4,0,1,25,0,3,16,11,0,4,96.3,0,0,137093,6400,118193,3,6,1,3,4,2690,87,9,0,17,53.4,0,0,96
16000,36,5.32,481.84,2,1,0,0,150000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13.78,0,760,0,0,0,13,0,14790,43,814,810,0,0,0,0,0,5,38066,0,0,172,155,4,4,1,4,0,5,0,0,4,30,12,0,4,100,0,0,598150,99500,110450,4,3,2,5,2,7985,30,1,0,2,14.9,0,4,91
5600,36,9.76,180.07,0,0,0,1,55020,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14.4,0,675,2,28,70,43,2,11101,56,689,685,0,28,1,0,0,7,361,0,0,150,269,4,4,1,11,0,6,0,1,8,5,49,0,7,98.2,1,1,60300,18700,5000,3,1,1,1,14,1700,26,1,0,3,24.5,0,8,89
18000,36,6.24,549.56,2,0,1,0,90000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11.68,0,705,0,64,0,13,0,22196,29,724,720,0,64,0,0,0,112,2148,0,0,136,175,12,12,0,12,69,12,64,4,5,13,15,0,1,88.9,0,0,66300,43100,20000,0,5,0,0,1,10190,39,0,0,1,51.5,0,5,18
12000,36,13.18,405.37,2,0,1,0,66000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,17.69,1,675,0,20,96,6,1,7321,11,629,625,0,28,1,0,0,9,32358,0,0,113,41,6,6,1,24,0,7,20,0,1,6,4,0,3,90.9,0,1,205209,1000,20979,2,2,1,2,3,988,70,0,3,3,98.8,0,10,76
12000,36,8.49,378.76,0,0,0,1,75000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.77,0,660,0,0,0,9,0,9911,18,779,775,0,0,0,0,1079,39,1565,0,0,75,132,24,24,0,24,0,0,0,0,4,9,9,0,0,100,0,0,27306,14800,7006,0,2,0,0,1,6242,52,0,0,0,61,0,2,60
4300,36,12.59,144.04,1,0,1,0,12000,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.6,0,725,0,0,0,4,0,3056,6,804,800,0,0,0,0,0,24,1003,0,0,85,42,14,14,0,14,0,0,0,0,3,3,3,0,0,100,0,0,9437,7400,2037,0,1,0,1,1,2202,43,0,0,0,41.3,0,1,47
30000,36,6.24,915.93,1,1,0,0,120000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23.26,0,745,1,0,0,23,0,50642,34,679,675,0,0,1,0,0,33,4438,0,0,195,364,2,2,1,2,0,2,0,0,6,16,17,0,3,100,0,0,239774,87500,45174,1,8,0,0,3,15840,43,0,0,1,48.8,0,3,35
20000,36,9.17,637.58,0,0,0,1,60000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17.8,0,705,0,29,0,9,0,5686,18,734,730,0,31,0,0,0,12,2367,0,0,151,348,36,12,2,36,29,0,29,2,2,4,12,0,1,83.3,0,0,45700,9900,21800,0,2,1,1,0,5638,47,0,0,0,57.3,0,10,72
20000,36,9.76,643.1,0,1,0,0,1e+05,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20.16,0,700,1,53,0,17,0,33524,48,674,670,0,0,0,0,0,31,9436,0,0,261,164,5,5,3,5,53,1,53,0,7,27,18,0,2,88.6,0,0,224846,40600,64012,1,7,0,0,4,9474,89,0,0,2,81.6,0,10,104
24000,36,9.8,772.17,0,0,1,0,125000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.96,0,700,2,25,0,24,0,7280,27,574,570,0,64,0,0,0,16,2179,0,0,77,151,4,4,0,4,25,1,25,1,6,11,16,0,4,92.3,0,0,91827,36500,41627,1,10,0,2,6,1372,57,1,0,6,11.1,0,3,108
24000,36,16.55,850.31,3,0,0,1,110000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18.36,0,665,0,66,11,10,5,15319,12,644,640,0,0,1,0,0,2,5546,0,0,171,125,2,2,0,2,0,0,0,0,7,3,8,0,5,91.7,0,4,73738,26400,21832,3,2,2,2,5,6042,75,2,0,8,58,0,10,93
3000,36,11.48,98.9,0,0,0,1,38000,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,33.8,0,705,1,0,0,19,0,4314,20,694,690,0,0,0,0,0,58,4815,0,0,124,62,10,10,0,49,0,0,0,0,2,15,5,0,1,100,0,0,104820,5300,95420,0,14,0,0,2,2745,87,0,0,1,63.5,0,2,91
9500,36,9.76,305.47,0,0,0,1,51500,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14.01,0,705,0,0,0,20,0,11622,27,709,705,0,0,1,0,0,4,10176,0,0,111,109,85,4,0,85,0,0,0,0,3,19,3,0,2,100,0,0,206537,16500,190037,2,16,1,3,0,6363,98,0,1,0,70.4,0,7,101
22800,60,16.55,561.14,3,0,0,1,65000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.73,0,675,0,0,0,7,0,17497,12,499,0,0,0,0,0,0,20,3470,0,0,20,93,2,2,0,2,0,20,0,0,4,1,11,0,1,100,0,0,34280,13700,15280,1,1,0,1,3,6851,71,1,0,0,98.7,0,2,44
12000,60,16.99,298.17,3,0,0,1,37900,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.77,0,665,1,30,49,12,2,7196,25,604,600,0,30,1,0,0,27,600,0,0,27,290,0,0,0,1,30,0,30,1,6,1,24,0,2,78.9,2,0,23400,11700,0,2,0,0,0,4,3125,31,0,0,8,56,0,3,97
6000,36,8.38,189.08,0,1,0,0,52000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.92,1,660,0,4,69,5,1,3396,35,689,685,0,72,1,0,0,4,48773,0,0,125,313,17,4,2,36,4,1,4,1,1,7,26,0,1,93.1,1,0,256400,6300,17600,1,1,1,2,1,1805,73,0,3,2,28.7,0,2,97
15000,36,9.76,482.32,0,0,0,1,105000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9.57,0,695,0,0,0,6,0,18970,8,544,540,0,0,0,0,0,0,3162,0,0,26,51,2,2,0,5,0,8,0,0,4,1,7,0,2,100,0,0,50100,39000,0,2,4,2,1,0,2373,36,0,6,3,33.8,0,4,61
5525,36,18.99,202.5,4,0,0,1,15423.36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39.92,0,660,0,0,0,8,0,10799,12,504,500,0,0,0,0,612,21,1673,0,0,21,222,2,2,0,26,0,0,0,0,2,1,10,0,2,100,0,0,18733,7000,4450,2,1,0,1,2,3796,71,0,0,0,95.5,0,10,54
9000,36,6.49,275.81,1,1,0,0,54000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28.22,0,730,0,0,0,9,0,25429,18,824,820,0,0,1,0,0,25,17534,0,0,125,158,35,25,5,35,0,11,0,0,3,2,11,0,0,100,0,0,205975,27100,13000,0,1,0,0,0,17865,56,1,0,1,89.7,0,10,41
28000,60,13.67,646.74,1,0,0,1,120000,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19.69,0,660,0,32,0,13,0,76378,23,664,660,0,32,0,0,0,75,6581,0,0,123,297,12,12,3,28,0,0,37,3,8,3,16,0,3,87,0,0,102936,92000,0,0,0,0,0,3,27143,77,0,0,0,79.6,0,0,45
30000,36,9.8,965.21,0,1,0,0,99933.34,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,17.08,0,670,0,58,0,6,0,30358,18,739,735,0,58,0,0,0,17,7799,0,0,129,356,21,17,4,21,0,21,0,1,2,6,7,0,0,94.4,0,0,68149,26000,37949,0,3,0,1,1,22806,69,0,0,0,98.8,0,9,43
24000,36,7.49,746.44,2,1,0,0,60000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16.84,0,780,1,0,0,10,0,9612,18,684,680,0,0,0,0,0,2,10764,0,0,122,137,10,2,1,10,0,2,0,0,3,4,13,0,2,100,0,0,181350,32800,20000,1,1,1,1,3,2735,31,1,3,1,9.4,0,10,98
19300,60,11.99,429.23,1,1,0,0,42000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10.03,0,730,0,0,0,4,0,17502,9,779,775,0,0,0,0,0,95,68807,0,0,159,213,104,45,1,116,0,0,0,0,1,4,4,0,0,100,0,0,146700,18700,0,0,0,0,0,0,17502,94,0,0,0,93.6,0,8,74
15000,36,9.8,482.61,0,0,0,1,75000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20.21,0,695,0,0,0,11,0,14296,20,689,685,0,0,1,0,0,3,6842,0,0,89,91,5,3,0,5,0,6,0,0,4,12,8,0,2,100,0,0,92971,21300,70871,2,6,1,2,2,8986,81,0,0,1,67.1,0,1,86
15000,36,6.24,457.97,2,1,0,0,101000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,33.12,0,685,0,40,0,12,0,11451,17,749,745,0,0,0,0,0,14,16732,0,0,77,71,28,14,3,28,0,3,0,0,5,8,6,0,0,94.1,0,0,264113,17800,125274,0,5,0,2,0,5364,57,1,2,1,64.3,0,10,60
18000,60,14.48,423.33,2,1,0,0,143954,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13.28,0,670,2,0,81,12,1,14987,27,709,705,0,0,1,0,0,7,7350,0,0,153,200,1,1,3,1,0,1,0,0,8,8,16,0,3,100,1,0,96914,21400,70214,2,1,1,1,7,3455,56,0,3,3,70,0,10,64
6000,36,11.99,199.26,1,0,1,0,26000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,27.75,2,675,1,14,43,13,1,9397,19,719,715,0,73,0,0,929,26,1862,0,0,26,316,1,1,0,57,0,1,14,1,4,1,18,0,1,84.2,0,0,31345,11800,11345,1,1,0,0,1,2912,54,0,0,1,56.8,0,2,65
17000,36,13.99,580.94,1,1,0,0,90000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18.36,0,665,3,0,0,29,0,36371,69,654,650,0,0,0,0,0,24,9893,0,0,147,167,4,4,4,4,0,1,0,0,8,21,44,0,3,100,0,0,301850,39300,112071,3,3,0,1,6,11987,69,2,14,4,80.3,0,1,91
22000,36,7.49,684.24,1,1,0,0,92000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13.94,0,705,1,47,0,24,0,21456,62,704,700,0,0,1,0,0,7,13933,0,0,213,296,6,6,6,8,0,6,47,0,9,20,34,0,3,95,0,0,323289,44280,0,2,0,0,0,4,9502,33,0,0,2,44,0,10,0
